Review,Rating,Tanggal
"buku udah bisa dipinjam tapi teks gamuncul buku nya juga gabisa di download, gacuma aku yg ngalamin ini banyak pembaca juga sama jadi tolong cepat diperbaiki",2,2026-04-15 08:28:34
"Min, ini anggarannya DIKORUPSI tah? kok buat aplikasi saja tidak becus, log in aja tidak bisa, setelah update aplikasi semakin bobrok aplikasinya tidak bisa digunakan, ayolah KORUPSI yang lainnya jangan anggaran literasi diembat juga...",1,2026-04-15 05:33:00
"Alhamdulillah, akhirnya ipusnas pulih lagi... semoga gak sakit-sakitan lagi.. 🙏🏻👏🏻👏🏻👏🏻",5,2026-04-14 21:14:49
"good... semoga kedepannya ada fitur read aloud atau baca suara otomatis kaya di aplikasi lain sekarang setiap mau baca harus mengunduh dulu, jadinya kalau offline gak bisa baca",5,2026-04-14 09:16:49
"jelek bangeeeeeet !!!!. Nggak di web nggak di aplikasi. Jeleknyeeee. tolong yaaaa ini di perbaikin, bayarnya pake pajak loh ini",1,2026-04-13 18:04:59
kok ga bisa dibuka ya? padahal pengen banget baca buku...,1,2026-04-13 17:01:48
katanya udah bisa dibuka? kok di hp aku nggak bisa min malah keluar mulu setelah di unduh,1,2026-04-13 12:59:51
gk berjalan antrian setelah seminggu nunggu,1,2026-04-12 15:50:41
"login nya susah, lama cirihas aplikasi pemerintah yang cuma di buat tanpa ada pemeliharaan yang jelas. terus aplikasi sering eror",1,2026-04-12 09:43:38
gak bisa login dan kena blokir terus di web ipusnas,1,2026-04-11 15:54:33
"Alhamdulillah setelah berbulan bulan mengalami bug dan error sekarang telah pulih kembali, yuk perbaiki rating semua nya jangan lupa bintang 5 agar aplikasi ini lebih populer",5,2026-04-11 00:33:30
"maaf, kok buku yang saya pinjam tidak bisa terbuka ya?",1,2026-04-10 14:56:45
Aplikasi makin ga jelas aja setelah maintenance panjang.Cuma bisa baca online masih oke...lagi enak2 baca tau2 log out sendiri.Pas diunduh lagi malah gagal verifikasi perangkat...bikin emosi.,1,2026-04-10 13:48:22
tidak bisa meminjammm bukuu pdhl sudah download dari app store,1,2026-04-10 13:47:35
Kembalikan Ipusnas seperti dulu,1,2026-04-10 10:11:26
tidak bisa membaca buku karena sudah melewati batas pinjaman buku,1,2026-04-10 00:53:03
"tahun 2026 ipusnas gak bisa dipakai utk pinjam buku, sampai download ulang tetap saja error kenapa ya????",1,2026-04-09 16:48:40
"Setelah pembaruan, aplikasinya memang terasa sedikit lebih baik. Namun cukup disayangkan, koleksi buku di sini masih berbeda—bahkan terkesan kurang lengkap dibanding yang tersedia di web perpustakaan org",5,2026-04-09 12:05:17
"ni perlu perbaikan lagi, mau pinjam lewat laptop gak bisa",1,2026-04-08 16:13:48
sangat bagus menurut saya,5,2026-04-08 13:43:05
"udah bisa berfungsi dengan baik seperti dulu, meski tetep aja kalau mau buku impian harus war file, tapi itu letak serunya. tapi tetep aja masih ada yang perlu dipertanyakan, untuk mode luar jaringannya kenapa aku tetep ngga bisa mengakses buku pinjaman meski setiap buka buku-buku ketika online selalu ada loading dengan keterangan menyiapkan buku, mendownload buku? apa ini normal ya sekarang? tapi yaudahlah, bisa lancar juga udah bikin seneng. semoga kali ini bertahan lama",4,2026-04-08 11:34:55
"buka di web nya waktu mau pinjam harus ada aplikasi, tapi waktu sudah ada aplikasinya gk bisa di buka, keluar terus",1,2026-04-07 19:33:20
"udah 2 tahun ini bug nya kok gk pernah di fix ya? ini kan aplikasi buat baca buku, terus kalau setiap mau minjam buku selalu gk bisa itu gimana ceritanya?",4,2026-04-07 14:41:50
sampai sekarang belum bisa ya kak admin? 😔 jadi sedih.,1,2026-04-07 08:00:18
tolong diperbaiki kosong mulu dokumennya,1,2026-04-06 17:35:37
"ipusnas seru bgt koleksinya, tapi kesal mau pinjam jadi 5 ga bisa lagi setelah kembalikan satu buku. pas mau pinjam satu lagi ga bisa, padahal sebelumnya pinjam 5 bisa.",5,2026-04-06 17:14:23
sekarang kalau mau baca gak bisa di baca saat offline padahal udah di download tapi disitu keterangan bukunya belum terdownload sedih bangtttt mana udah seneng baca disitu. ada aja kendalanya:(( balikin ke dulu lagi dong plisss,2,2026-04-06 06:12:39
"tolong perbaiki, aplikasinya error😞",2,2026-04-05 20:20:15
"Sekarang saya ga bisa login padahal ada buku yang mau saya pinjam di ipusnas, bilangnya ""ada masalah pengiriman data"", tolong banget diperbaiki yaa",3,2026-04-05 20:11:06
"sudah berbulan bulan gak bisa pinjam buku, kalo memang ada masalah masa sampe berbulan bulan gak selesai",5,2026-04-05 14:10:44
"Aplikasinya masih sulit diakses kak, nggak bisa masuk 🙏😓",1,2026-04-05 10:07:45
"udah selese dowload, mau cari buku lagi, pas balik ke buku yg di download masa harus download lagi.",5,2026-04-05 06:33:21
Apk Ipusnas sudah tidak bisa baca offline lagi yaa?,1,2026-04-03 20:15:49
Aplikasi ini sangat membantu meningkatkan minat baca masyarakat dengan akses buku yang mudah dan praktis. Semoga ke depannya server semakin stabil dan koleksi buku terus bertambah agar pengalaman membaca makin nyaman. teruslah maju dan berkembang..!!!,5,2026-04-03 19:11:32
"udah bisa baca si skrg, tapi setiap mau baca musti diunduh ulang, yg baca offline jadi gak bisa",2,2026-04-03 16:48:59
Finally ipusnas come back,5,2026-04-03 15:11:38
"Terimakasih iPusnas, aku jadi bisa membaca buku yg ingin sekali aku baca.",5,2026-04-03 11:10:14
Bagus,5,2026-04-03 06:47:42
"saran saya sebaiknya adakan fitur searching di bagian filter supaya tidak perlu scroll dan memudahkan pengguna mencari genre, pengarang ataupun penerbit. Dan lebih baik kalau buku-buku dikategorikan sesuai jenisnya jangan dicampur dengan genre.",1,2026-04-02 20:36:14
"kenapa gk bisa dibukaa, tolong segera diperbaiki min. pengen banget baca buku wishlist aku",1,2026-04-02 16:42:21
Aplikasinya bagus.,5,2026-04-02 12:57:19
pantes makin error mulu kena dampak efisiensi anggaran untuk mbg anj,1,2026-04-02 12:25:29
"kenapa ya kok saat ini ga bisa pinjam lagi😭, coba di hp,di laptop ga bisa",1,2026-04-02 08:47:41
"kayaknya lancar2 aja kalau pake wifi, tpi kalo pake data loadingnya ga kelar2 pdahal sinyalnya bgus. Tpi, karna udah membantu, jdi ak ksih bintang 4 :]",4,2026-04-02 06:13:01
"terima kasih, sekarang sudah di perbaiki. 😙",5,2026-04-02 04:31:13
"aplikasi ini tidak bisa dibuka,saat saya mau buka aplikasi ini pasti keluar terus",1,2026-04-01 19:11:15
"awal2 bagus, sekarang sering ngeleg, nggak bisa di buka padahal kebantu banget",5,2026-04-01 18:41:17
Optimasi SAMPAH! heran kenapa semua aplikasi bikinan pemerintah yang udah Nelan miliaran optimasinya lebih buruk dari aplikasi pinjol ilegal,1,2026-04-01 01:20:48
"ada buku yg gabisa didownload. sedih bgt padahal udah dapet buku yg antrinya lama itu, tp pas udh dipinjem dan download malah gabisa dibaca",3,2026-03-31 16:42:52
"mudahan aplikasi ini semakin baik, karena sangat banyak manfaatnya untuk yang suka membaca. terimakasih 🙏",4,2026-03-31 12:44:50
"tdk bisa dibuka app nya, udah versi terbaru padahal",1,2026-03-31 11:56:41
mantap,5,2026-03-31 06:49:03
"Setelah update sdh seperti semua, terimakasih developer. Jujur aplikasi ini sangat membantu buat mahasiswa",4,2026-03-30 22:28:48
"sudah sangat niat mau literasi baca disini yg memudahkan ternyata sudah coba sehari beberapa kali tidak juga bisa kebuka, pupus sudah",1,2026-03-30 17:47:00
"halo i pusnas kenapa sekarang pinjam buku jadi susah tidak bisa terus? tolong kalau mau rakyat pinter, minimal aplikasimu dipinterin dulu. Aplikasi bobrok gini sistemnya beli dimana? jangan makan gaji buta min admin, perbaiki sistemnya biar gak sering error. Edit : Alhamdulillah sudah bisa pinjam lagi. Nah gini kerja, ingat anda dibayar rakyat (pajak) maka jadilah pelayan rakyat. Biar Indonesia tambah pinter harus rajin membaca, aplikasinya harus banyak yang tau, promosiin yang kenceng.",5,2026-03-30 06:03:49
"semenjak aplikasi crash Mulu,jadi sebel kalau baca disini,tadi niatnya mau baca lagi buku yang Kusuka,tapi setelah minjam malah loading terus bukunya,tolong dong diperbaiki lagi sistem nya ipusnas,mana tempat baca yang nyaman cuma disini,karena koleksi nya terbilang cukup lengkap,tapi sebel gara-gara loading Mulu 😭",2,2026-03-29 10:02:38
"bagus untuk baca dongeng anak tapi kenapa sering gangguan, di aplikasi lagi download buku lalu layar mati dan donwloadan tadi jadi hilang. di laptop lebih parah, ga bisa di baca samasekali. pake server murahan ya?",3,2026-03-29 09:23:24
kenapa website ipusnas di laptop maupun hp kenapa ngga bisa diakses dan mau login ipusnas aja ngga bisa trus ini juga ada kendala koneksi internet dan ini sekarang log in di hp aja ngga bisa apalagi mau pinjam buku di laptop juga ngga bisa. tolong dong dipercepat satset diperbaiki lagi dong soalnya lagi butuh banget buat kuliah please deh tolong cepetan diperbaiki lagi,2,2026-03-28 22:44:58
"Udah dua bulan ga pinjam buku, sekarang udah bisa pinjam tapi malah harus download mulu setiap mau baca. Padahal dulu cuman sekali download, selama masa pinjam langsung bisa baca offline. Sekarang udah pinjam malah harus buka pake internet mulu karena harus di download. Tolong dong, padahal ini sengaja baca pas lagi ga ada paket🙏",1,2026-03-28 20:57:18
"defisit anggaran tapi menurunkan jiwa literasi anak bangsa, padahal buat orang-orang yang kurang mampu beli buku tuh penting banget sama aplikasi ini, mereka bergantung dengan akses buku gratis, kok malah ditangguhkan sih?! gini nih yg mau pendidikan Indonesia maju? tapi sarana pendidikan aja jadi second choice 🤢",1,2026-03-28 16:36:27
"Jadi ga bisa baca offline ya?setiap tutup buku/keluar dari buku, dan mau baca/buka lagi harus download ulang. Padahal sebelumnya udah di download, gabisa baca offline dong ini mah, padahal mau buat bacaan di sekolah, pas gada kouta. Tolong dong, diperbaiki, aneh. Dana perbaikan kepotong sama mbg kah?",2,2026-03-28 14:41:51
"tolong dong pemerintah, ipusnas ini berguna banget buat nambah wawasan dan minat literasi, kita mau beli buku lngsung harganya mahal",1,2026-03-28 08:02:49
"sudah bisa pinjam buku. TAPI setiap ingin dibaca ulang masa harus diunduh lagi. Dan ada beberapa buku yang loading terus saat dibuka, padahal sudah berhasil diunduh.",3,2026-03-28 06:18:56
"sebenarnya aplikasi jni sangat bagus. karena dapat meningkatkan literasi, dan juga mengurangi rasa bosan. banyak pilihan buku untuk dibaca. tapi kenapa di saya, bukunya Ziggy loading mulu, ga kebuka-buka? tolong😭🥲",3,2026-03-27 10:19:20
Alhamdulillah per 26 Maret 2026 sudah normal,5,2026-03-27 05:52:56
Alhamdulillah sudah pulih,5,2026-03-26 16:46:33
"aplikasi nya sering eror min, lebih banyak loading nya, padahal mau baca🥹",3,2026-03-26 08:23:23
"ini gimana ya, saya mau pinjam buku gagal verifikasi terus(",1,2026-03-26 08:19:42
aneh data gue bener jaringan 5g tapi pas minjem buku verifikasi trus,1,2026-03-26 07:55:39
"ga ada guna download aplikasi ini, pas awal doang bagus, lama lama emosi pakai aplikasi ini. gabisa login lah, ga bisa dipinjem lah, ada aja kendalanya. padahal koleksinya lumayan bagus, tapi apknya error terus.",1,2026-03-26 07:02:19
"waktu mau minjem buku tulisannya perangkat tidak bisa di verifikasi , padahal pake apk asli dari play store huh🙇‍♀️🙇‍♀️",2,2026-03-26 06:58:51
sering error...diminta verifikasi berulang-ulang. apa ini sengaja agar masyarakat tdk membaca?,1,2026-03-26 06:25:44
Update hari ini iPusnas kembali error seperti semula,1,2026-03-26 06:09:47
apa kalian g bisa kerja?? aplikasi error benerin donk!!!,1,2026-03-26 04:56:09
"gabisa mengunduh, gabisa dibaca, loading. teryata udh beberapa bulan masih gini aja",1,2026-03-26 00:59:50
ini aplikasi g keurus ya?,1,2026-03-26 00:04:19
"3 tahun lalu Ipusnas menolong saya untuk susun skripsi tetapi kenapa sekarang ipunsnas loading lama, pinjam buku pun sulit",1,2026-03-25 23:47:48
"Gak bisa pinjem alasannya akun tidak terverifikasi karena perangkat tidak resmi, sebelumnya gagal terus dengan alasan jaringan meski pun udah pake data sendiri tetep gagal, sering keluar sendiri, loading lama banget padahal jaringan stabil. Niat hati mau pinjem buku buat kebutuhan yang lumayan mendesak, eh ..., yasudahlah🫠",1,2026-03-25 23:41:51
kenapa gak bisa pinjam buku... gagal verifikasi terus ... sudah berbulan-bulan kyk gini... Jd sulit nambah pengetahuan,2,2026-03-25 22:59:10
"apk apaan sih ini, kemarin susah banget daftarnya karna masalah server, sekarang udah bisa login tapi layar full putih doang padahal internet lancar dan stabil.",1,2026-03-25 22:34:19
"Saya buka kok tdk berhasil, auto close, pesan eror nya ada bug, tgl 28 okt 2024 aplikasi lebih baru, ada update, aplikasi ipusnas lebih baik. tgl 11 okt 2025 app tdk bisa dibuka. update maret 2026, saat mau pinjam buku, pesan error yg muncul Verifikasi Perangkat Gagal Kami tidak dapat memverifikasi perangkat Anda. Pastikan Anda menggunakan aplikasi resmi dari Play Store dan perangkat tidak dimodifikasi.",2,2026-03-25 21:55:36
"GAK BISA PINJAM BUKU 😭 PLEASEE PERBAIKI BUG NYA, MAU SAMPAI KAPAN APK NYA BEGINI. SUSAH BANGET DAH AKSES BUKU GRATIS DI NEGRI INI UDAH BISA DI AKSES KOK MALAH VERIFIKASI GAGAL???!!! KATANYA PASTIKAN DOWNLOAD APK LEWAT PLAYSTORE, YA EMANG DOWNLOAD IPUSNAS LEWAT MANA LAGI???!!! HAPPI MOD??? NGOTAK DONG",1,2026-03-25 20:38:45
Woyy beresin donk,1,2026-03-25 20:36:23
kok ipusnas sekarang susah bgt 😭😭😭,1,2026-03-25 20:32:19
"mohon segera di perbaiki ya Aplikasinya, soalnya tiap mau pinjam buku selalu muncul pemberitahuan tidak bisa terhubung dengan perangkat. Padahal sudah download secara legal di play store, tapi beberapa kali instal dan uninstal peringatan serupa selallu muncul tiap kali pinjem buku.",1,2026-03-25 20:32:10
"Sudah daftar dari lama, tapi nggak pernah berhasil pinjam buku. Pas dibagian verifikasi sll gagal, entahlah ini karena apa... Sudah uninstall 2x masih sama gagal terus",1,2026-03-25 20:17:26
"astagfirullah error melulu, nggak bisa pinjam buku",1,2026-03-25 18:52:58
"Kenapa ipusnas jadi gini??? Loading teros. Kirain karna hp ku lemot, ternyata di hp baru pun gitu. Riwayat, pinjaman, antrian, ilang semua. Boro-boro nyari buku, beranda aja loading terus. AKU PENGEN BACAAAA. PLEASEEE. Ini aplikasi ke instal tapi ngga kepake jadinya. Sad. Ini aplikasi diupgrade buat apa sih kalo ngga bisa di pake sama pembaca??? lag terus, ngga bisa minjam buku.. diupgrade bukannya makin lancar malah makin ngelag 😭",1,2026-03-25 18:10:01
kagak bisa masuk cuy walau di coba berkali kali,1,2026-03-25 17:37:55
"ya Allah, kenapa harus ada verifikasi perangkat saat mau pinjam buku, kog makin ribet. kadang saya heran, aplikasi selevel Nasional tapi masih banyak bug dan error yg terjadi. ngelaglah, susah masuklah, force closelah, dan lainnya",3,2026-03-25 16:23:09
"hai, tolong perbaiki servernya yaa, saya mau membaca buku tapi malah ada muncul tulisan ""verifikasi perangkat gagal""semua cara sudah saya coba. Mohon perhatiannya untuk lebih baik lagi kedepannya, terimakasih.",1,2026-03-25 15:40:12
"Pelayanan buruk, udah download dari playstore malah disuruh download lagi :(",1,2026-03-25 13:57:34
"JELEK, NGGA BISA DOWNLOAD BUKU NYA, MALESS BANGETT, PADAHAL BUKUNYA SAMPE 100 LEBIH TAPI SATUPUN NGGA BISA DIBACA🤔",1,2026-03-25 13:38:57
"gara"" ada efisiensi anggaran,kaga bisa minjem,kaga ngapa""in negara sini doang yg potongin smua anggaran yg bertujuan mencerdaskan kan anak bangsa",1,2026-03-25 13:25:16
"Tidak bisa meminjam buku, selalu terjadi kesalahan.",1,2026-03-25 12:59:04
kok eror terus gabisa pinjem buku padahal download di PlayStore 😢,4,2026-03-25 12:46:30
login berhasil muncul eror baru verifikasi perangkat gagal saat akan membaca buku,1,2026-03-25 12:32:57
verifikasi perangkat gagal (ketika pinjam buku),5,2026-03-25 11:58:42
aplikasi ini sangat membantu bagi saya yg ingin membaca buku tanpa harus beli buku alias gratis.tapi akhir2 ini aplikasi ipusnas kurang baik performance nya.semoga aplikasi ipusnas kedepan nya menjadi lebih baik supaya memberikan bnyak manfaat untuk masyarakat,3,2026-03-25 11:42:32
"bersyukur akunnya sudah bisa masuk, taoi masih ada masalah lagi, ini untuk baca buku masih belum bisa, malah kuncul tulisan perangkat belum terverifikasi, padahal sebelum²nya masih aman² aja buat baca, tolong segera diperbaiki ya...",3,2026-03-25 11:24:30
"saya sangat heran dengan ipusnas sekarang dulu aman-aman saja.. tapi semnjak semakin di update kok semakin menurun, kemarin saat mendatar akun yang sudah terdaftar malah error sekarang sudah bisa login tapi saat mencoba meminjam buku malah harus verifikasi dan selalu gagal. apa solusinya",4,2026-03-25 11:13:23
sering error,1,2026-03-25 11:03:06
banyak error nya daripada benernya,1,2026-03-25 11:02:39
"Udah gak bisa nahan emosi, apk ini sudah hampir setahun terinstal di hp saya tapi cuma bisa baca buku satu kali aja. tiap mau baca mesti loading lah ini itu lah sekarang malah tidak bisa terverifikasi karena apk yg saya gunakan tidak resmi dari PlayStore dan sudah dimodifikasi katanya hadehhh",1,2026-03-25 10:59:51
"Aplikasinya setelah di-update, kemarin beranda nggak bisa muncul, sekarang sudah jadi dan bisa melakukan pencarian buku, tapi waktu mau pinjam buku nggak bisa karena masalah verifikasi perangkat😭",1,2026-03-25 10:49:25
"GK bisa minjam, jelek sekali",1,2026-03-25 10:48:38
"bukannya tujuan dari iPusnas ini adalah mempermudah untuk membaca buku dan menambah ilmu? tapi kenapa apknya sangat-sangat menyusahkan, mau pinjam buku susah banget, error mulu, pdhl apk nya lumayan membantu buat mencari referensi tugas, tp makin hari makin aneh ni apk, susah banget buat di akses",1,2026-03-25 10:42:31
"gabisa minjem buku, udah di coba berkali-kali hasilnya tetap sama",1,2026-03-25 10:05:28
"baru juga kemarin-kemarin bagus, kok sekarang udah eror lagi😔😔",1,2026-03-25 08:25:05
enggak bisa kebuka,1,2026-03-25 08:04:02
"sangat buruk, loading terus di home screen, gitu aja terus. Padahal sdh dilakukan maintennace tapi hasil nya nihil aplikasi masih error, dan masukan saya untuk pengalaman baca tolong bisa dibuat kayak google play book saat pindah halaman karena yg sekarang masih terlalu kaku kurang smooth.",1,2026-03-25 07:49:21
"benerin sistemnya lah,udh lama rusak ga ada dibenerin. aneh",1,2026-03-25 07:40:39
"kecewa bgt sama aplikasinya, makin hari makin memburuk.",1,2026-03-25 06:24:58
gabisa login ulang,1,2026-03-25 02:38:57
"saya baru install Aplikasi ipusnas, tapi gak bisa daftar dan banyak sekali masalah, saya harap semoga Aplikasi ini di perbaiki karena ipnusnas ini sangat berguna bagi seorang pelajar seperti saya...",1,2026-03-24 23:52:33
tidak bisa masuk,1,2026-03-24 23:46:38
"ipusnas setelah diupdate jd gabisa login, aneh banget selalu notifnya salah pengiriman data. Ini pengembang aplikasinya yg error atau gimana? mending uninstall aja lah..katanya utk budaya literasi, tapi kok ya nol gt loh",1,2026-03-24 23:23:28
"Halo, saya sebelumnya sangat suka dengan iPusnas ini... sangat memudahkan untuk membaca. Akan tetapi mengapa akhir-akhir ini selalu lag dan eror? Saya coba memakai sinyal pribadi dan WiFi, dua-duanya tidak bisa membuat saya untuk sekadar login ke iPusnas. Tolong kepada pihak iPusnas agar segera memperbaiki aplikasi ini... saya sangat mengharapkan agar iPusnas bisa digunakan dengan lancar lagi seperti sediakala. Terima kasih.",1,2026-03-24 22:31:50
aplikasi apa ini 😭,1,2026-03-24 22:24:27
ntah kenapa mau login/daftar gabisa,1,2026-03-24 20:51:17
"jujur kenapa sekarang lemot banget, semenjak dari perbaikan belum buka lagi ipusnas karena saking gregetnya suka loading terus (ntah saat login, nyari buku, ataupun mau buka apknya sendiri). Bahkan sampe unistall dulu sekarang pas instal lagi kirain udah oke lagi ternyata msih sama suka gangguan :v. Semoga bisa jadi masukkan yang baik, terima kasih",1,2026-03-24 19:56:35
ga jelas ga bisa ngapa ngapain,1,2026-03-24 17:54:24
"apk lucu, login aja gabisa",1,2026-03-24 16:31:35
kecewa banget ga bisa login sama sekali udah coba pakai 2 akun dan 2 hp tetap ga bisa padahal niat buat liburan mau baca buku,1,2026-03-24 16:23:37
"setelah perbaikan lebih dari 1 bulan, ternyata tetap belum bisa pinjam. makin kesini makin parah, jadi gak bisa login.",1,2026-03-24 15:02:03
"lah, gua mau login di laptop malah gak bisa, harus konfirmasi dulu lewat hp. Tapi pas gua cek, malah gk ada notif apa-apa dari perpusnasnya. Gw pikir ""ah, kyknya gua yg salah nih."" Akhirnya gua pindah ke hp, malah gak bisa juga. Aneh nih aplikasi. Gw mau belajar + baca buku di aplikasi ini jadi sungkan gw.",1,2026-03-24 13:44:07
"Parah,nggak niat bikin aplikasi apa yha?kemaren nggak bisa pinjam buku,sekarang nggak bisa buka laman muter-muter aja terus padahal bagus sinyal,terus masak mau buka buku harus download terus,udah didownload eh,pas ditutup mau buka lagi, download lagi👎🥲.",1,2026-03-24 13:38:31
"aplikasinya tidak bisa dibuka, jangan mau instal apk ini",1,2026-03-24 12:56:48
"sering error, loading terus berandanya udah beberapa hari ditunggu tetap aja kayak gitu",3,2026-03-24 11:46:37
"Terus terang aplikasinya sangat membntu dan bermanfaat. Tp trlalu sering gangguan, dan tiba2 gak bisa akses. Tlong kpada pusnas bisa dtngkatkn lagi ya, krn aplksi ini sangat dbutuhkan🙏",3,2026-03-24 11:22:56
"baru download bintang satu , masalah nya sama sekali gak bisa daftar akun",1,2026-03-24 11:16:49
ipusnass baguss tapi bisa ngga jangan sering² error:(,4,2026-03-24 09:52:25
sering error,1,2026-03-24 09:00:30
katanya untuk belajar kok login aja ga bisa,1,2026-03-24 08:57:48
ini ada yg ngurusin engga aplikasinya? dari dulu error melulu,2,2026-03-24 01:01:52
halaman awal: javalang bla bla bla cenah. waktu mau daftar: data tidak tersimpan dikarenakan... Tolong perbaiki dan update aplikasinya.,1,2026-03-23 23:07:50
Aplikasi tolol gak berguna. Kena imbas efisiensi anggaran.,1,2026-03-23 21:50:39
"Banyakan eror, mau login eror, mau pinjam eror",1,2026-03-23 21:49:46
"kacau bangt ni apk, kaya cuma di kasih harapan , cuma bener sesaat, sisanya eror doang",1,2026-03-23 20:28:14
aplikasi literasi kok eror niat ga sih pemerintah bikin aplikasi buat majuin bangsa,1,2026-03-23 18:20:19
"aplikasi gajelas, sering eror",1,2026-03-23 17:34:26
"udah ngelist yang mau dibaca, ternyata aplikasi nya nggk bisa dibuka... ngelag lagi dan lagi...",1,2026-03-23 16:14:36
"aplikasi yang paling saya suka, sayangnya developernya gak niat, payah, gini amat tinggal di negara literasi rendah.",1,2026-03-23 15:10:06
error terus ni aplikasi jelek,1,2026-03-23 13:34:05
kenapa ini ga bisa digunakan login ga bisa buat cari dan pinjam buku ga bisa pusingg deh mana ini buat skripsian tolong dong,1,2026-03-23 13:20:30
gimana mau tingkat literasi meningkat kalo perkembangan dan maintenance aplikasi aja lambat bgt penanganannya. mulai masalah gabisa unduh buku sampe skrg login aja gabisa,1,2026-03-23 13:17:17
"tiap mau baca pasti ada kendala mulu, padahal udah dapet buku yg mau dipinjam. Mohon diperbaiki ya iPusnas untuk kedepannya.",1,2026-03-23 12:45:17
in apk saya suka tapi kenapa java scrip tulisannya dan ngk bisa masuk lagi apakah ad kesalahan data,1,2026-03-23 12:28:41
sedih banget udah ngelag apk ipusnas.. padahal mau nambah referensi bacaan selama liburan.. tolong segera diperbaiki dong min.. suka banget baca dan pinjam buku di sini sebelumnya,1,2026-03-23 12:18:11
jelek banget,1,2026-03-23 12:15:38
"daftar aja ga bisa, aplikasi pemerintah selalu ga jelas",1,2026-03-23 11:57:52
"benerin napa aplikasinya, mau nyari reverensi buku susah sering eror, kalo gk bisa kerja resign aja",1,2026-03-23 11:11:32
makin jelek aja ni aplikasi,1,2026-03-23 11:04:04
bosok,1,2026-03-23 10:53:39
"Enggak bisa login sama sekali, kesalahan terus",1,2026-03-23 10:24:16
"Tau iPusnas dari seorang influencer di sosmed, udh excited bgt buru"" download eh gabisa daftar, error mulu, semoga segera diperbaiki",1,2026-03-23 10:12:11
"akunnya keluar dan pas mau login lagi gak bisa kesalahan data terus, perbaiki dulu biar nyaman bacanya",1,2026-03-23 10:00:54
keseringan eror,1,2026-03-23 08:07:18
kenapa setelah updatean terbaru saya merasa untuk membaca di rak fitur offline jadi tidak berfungsi. sekarangharus sering download dan menunggu. harilibur yang seharusnya kita bisa membaca jadi ikut libur juga ini aplikasi apakah server pusat operator pada libur.,2,2026-03-23 07:39:43
Karena anggarannya dipangkas ya min jadi sering error ? dikasih anggaran juga udah syukur ya min 😄,5,2026-03-23 05:22:13
saya tidak bisa masuk ke app login juga ga bisa kenapa ya sering error huhu,1,2026-03-23 05:10:34
"gak bisa login, tolong diperbaikj",2,2026-03-22 19:47:12
"kok akhir² ini,sering gak bisa ya",1,2026-03-22 17:44:21
"tadi niat mau nyoba apakah aplikasi ini seburuk itu ,setelah saya coba ....baru aja mau login eh malah nggk bisa loginnya coba bikin akun baru juga malahan buffering dibagian milih kecamatan... tolong diperbaiki lagi ya!",1,2026-03-22 17:23:56
"tidak bisa login eror terus, tolong dong di perbaiki",1,2026-03-22 15:13:17
aplikasi rusak.,1,2026-03-22 14:13:13
"lag parah, saya mau lanjut baca buku taunya loading lama dan rak bukunya ga ada semua padahal kemarin ada sekitar 3 buku yang saya pinjem dan berencana untuk mengembalikannya karna sisa waktunya 2 hari lagi tapi setelah saya coba terus dari kemarin tetep gabisa. TOLONGG GIMANAA IH INI padahal apknya tuh berguna banget tau malah bikin bete mau baca buku, nugas dll",1,2026-03-22 13:33:33
